Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level,Sleep Quality
1860,32,Other,23.33,4.61,5.28,86,87,116,8.808920094,8,3,6,3
1769,41,Female,21.02,2.43,5.41,32,21,88,6.329833122,10,3,7,5
2528,20,Male,22.1,3.45,5.35,17,88,59,8.506305743,10,9,10,7
8041,37,Other,23.1,6.65,7.55,46,34,80,6.070239853,8,4,2,8
4843,46,Other,21.42,4.17,6.75,61,269,94,11.37499388,8,7,9,10
7439,38,Male,21.77,6.41,8.64,88,251,123,6.207993456,1,9,7,10
6463,18,Other,22.83,6.87,8.03,34,288,122,4.592357214,7,10,9,3
7278,26,Female,20.78,3.14,6.35,36,98,171,9.100459771,3,1,3,8
9110,31,Other,20.07,3.37,7.31,26,206,14,4.887126566,3,7,1,7
6116,49,Female,20.37,3.89,7.52,12,159,70,6.318011623,6,2,10,4
3693,45,Female,21.17,3.29,6.12,88,230,128,5.8234813,9,4,9,7
8526,23,Other,20.6,4.56,7.96,43,151,58,6.585623456,8,9,4,10
2853,29,Female,22.02,6.08,8.06,55,80,112,11.81291965,6,7,5,5
8392,18,Other,21.02,4.17,7.15,31,197,159,8.741573791,7,8,1,10
5389,41,Male,23.55,7.22,7.67,72,123,69,9.566502454,3,4,4,1
2986,36,Other,23.67,7.62,7.95,81,128,10,6.728530808,9,2,7,7
1262,33,Female,23.93,7.02,7.08,1,253,139,8.466347629,7,9,9,1
3255,20,Female,23.53,7.24,7.71,71,103,83,8.645492971,9,3,9,1
3961,35,Female,21.57,5.33,7.76,32,67,32,7.951149721,4,8,8,9
2218,34,Male,23.18,6.23,7.04,21,237,157,11.78408444,3,6,8,6
1225,38,Female,20.45,4.29,7.84,68,146,3,4.194527731,1,1,5,1
2060,41,Male,20.75,6.08,9.33,59,115,159,10.80909337,3,2,9,3
7709,20,Female,23.82,7.39,7.58,22,126,154,6.362324707,10,1,8,6
8343,56,Male,21.9,4.5,6.6,24,12,59,8.090739191,9,4,4,2
7655,33,Female,23.83,6.02,6.19,65,287,85,6.62522134,10,6,10,2
8509,59,Female,22.88,6.07,7.19,7,52,59, ,5,7,4,5
1876,49,Female,22.57,6.25,7.69,15,268,113,8.130402786,3,1,8,4
6177,43,Male,21.87,2.77,4.9,11,128,57,11.32170982,2,6,9,9
4343,56,Other,20.35,4.5,8.15,75,153,143,5.269171581,6,9,5,3
3141,22,Female,21.78,6.32,8.53,32,253,100,7.188037875,10,6,5,4
3849,48,Female,21.3,4.32,7.02,68,3,15,4.564549979,7,2,1,1
1851,41,Female,22.98,4.13,5.14,42,100,11,7.088821102,1,8,10,3
8723,46,Male,23.5,5.89,6.39,34,214,80,9.245781083,10,10,10,3
9808,24,Female,20.82,4.46,7.64,35,216,20,11.74064441,4,10,5,8
3786,52,Female,20.63,4.04,7.4,61,223,36,5.908774878,7,7,9,7
5968,47,Male,20.32,4.95,8.63,12,186,18,7.11361343,9,3,9,6
1717,48,Other,21.77,2.68,4.92,11,24,179,9.380147649,4,5,7,5
2062,59,Female,22.22,5.46,7.25,34,214,74,4.936536131,9,10,10,5
2542,30,Female,20.82,5.78,8.96,4,28,164,5.865824579,8,1,6,2
9702,24,Male,20.05,2.3,6.25,60,181,166,7.393776074,10,3,7,3
5268,30,Female,23.95,8.15,8.2,60,0,130,8.666950121,9,1,9,8
1928,55,Male,21.95,2.51,4.56,79,212,163,8.430834275,4,9,2,5
2256,31,Other,22,5.64,7.64,2,143,11,11.66961926,8,6,8,6
